key,place,name,bounds,query,score
אלוני_יצחק,village,"[""אלוני יצחק""]","[35.0021956, 32.5077587, 35.0068575, 32.5126999]",אלוני יצחק,23.035380280032047
אלונים,village,"[""אלונים""]","[35.1402127, 32.716564, 35.1487563, 32.7235689]",אלונים,59.8470636400065
אלי_עד,village,"[""אלי עד""]","[35.7270347, 32.797818, 35.7417489, 32.8126109]",אלי עד,217.66568918005242
אליאב,village,"[""אליאב""]","[34.9256231, 31.5276312, 34.9340935, 31.5314336]",אליאב,32.20784896001289
אליכין,village,"[""אליכין""]","[34.9167803, 32.4038076, 34.9330821, 32.4118019]",אליכין,130.32147974000665
אליפז,village,"[""אליפז""]","[35.0098585, 29.795187, 35.0139658, 29.7986955]",אליפז,14.410462050013702
אליפלט,village,"[""אליפלט""]","[35.5438543, 32.9421114, 35.5519502, 32.9535508]",אליפלט,92.61223846001164
אליקים,village,"[""אליקים""]","[35.0624832, 32.6274123, 35.0718975, 32.6358413]",אליקים,79.3531346999622
אלישיב,village,"[""אלישיב""]","[34.9075854, 32.3756783, 34.9122333, 32.3856138]",אלישיב,46.179210449969624
אלישמע,village,"[""אלישמע""]","[34.9213762, 32.1457561, 34.9336197, 32.1591089]",אלישמע,163.48500680004932
אלמגור,village,"[""אלמגור""]","[35.5993611, 32.908692, 35.6068133, 32.9188545]",אלמגור,75.73298249995736
אלמוג,village,"[""אלמוג""]","[35.458447, 31.7881427, 35.4649759, 31.7915585]",אלמוג,22.30141661999155
אלעד,town,"[""אלעד""]","[34.9392606, 32.0412428, 34.9704074, 32.0612521]",אלעד,3116.1283261998988
אלעזר,village,"[""אלעזר""]","[35.133161, 31.6570256, 35.1463093, 31.6684197]",אלעזר,149.81304502997628
אלפי_מנשה,village,"[""אלפי מנשה""]","[35.0039736, 32.1680711, 35.0213449, 32.1808717]",אלפי מנשה,222.36306277998213
אלקוש,village,"[""אלקוש""]","[35.3174058, 33.0303628, 35.3295878, 33.0364715]",אלקוש,74.41618339995708
אלקנה,village,"[""אלקנה""]","[35.0267854, 32.1054044, 35.0426277, 32.1208687]",אלקנה,244.9900798900116
אמונים,village,"[""אמונים""]","[34.6665088, 31.7382725, 34.6856107, 31.7492723]",אמונים,210.11707961995856
אמירים,village,"[""אמירים""]","[35.4411915, 32.9346701, 35.4568814, 32.9419412]",אמירים,114.0828318900506
אמנון,village,"[""אמנון""]","[35.5666219, 32.9027741, 35.5793871, 32.908329]",אמנון,70.90940947998187
אמציה,village,"[""אמציה""]","[34.9128827, 31.5302231, 34.9165884, 31.5341269]",אמציה,14.466311660017562
אניעם,village,"[""אניעם""]","[35.7365865, 32.9549757, 35.7461338, 32.9596493]",אניעם,44.62026128004244
אעירה_שחר_גבעה_א,hamlet,"[""אעירה שחר"", ""גבעה א׳""]","[35.3641998, 31.9472778, 35.3728363, 31.9539943]",אעירה שחר,29.00352612501849
אפיק,village,"[""אפיק""]","[35.696518, 32.7748332, 35.706621, 32.7828541]",אפיק,81.03515269998894
אפיקים,village,"[""אפיקים""]","[35.5720278, 32.6757575, 35.5815533, 32.6853026]",אפיקים,90.92185004999206
אפק,village,"[""אפק""]","[35.121697, 32.8353663, 35.1318128, 32.8433146]",אפק,80.40341314003467
אפרת,village,"[""אפרת""]","[35.1455719, 31.6477573, 35.1704638, 31.6762559]",אפרת,709.384301340064
ארבל,village,"[""ארבל""]","[35.4754967, 32.8094037, 35.4899551, 32.8161592]",ארבל,97.67372120007539
ארגמן,village,"[""ארגמן""]","[35.5193813, 32.1710812, 35.5256091, 32.1746262]",ארגמן,22.077550999963925
ארז,village,"[""ארז""]","[34.5618759, 31.5579052, 34.5702989, 31.5633732]",ארז,46.056964000006786
אריאל,,"[""אריאל""]","[35.1124434, 32.0744148, 35.2189382, 32.1107541]",אריאל,386.9946485640177
ארסוף,village,"[""ארסוף""]","[34.814211, 32.2109756, 34.8187451, 32.2165054]",ארסוף,25.072666180027
ארסוף_קדם,village,"[""ארסוף קדם""]","[34.8181621, 32.2013074, 34.8223845, 32.2074923]",ארסוף קדם,26.11512175998036
אש_קודש,village,"[""אש קודש""]","[35.3331976, 32.0624902, 35.3397047, 32.0674061]",אש קודש,31.98825289000357
אשבול,village,"[""אשבול""]","[34.6596157, 31.4412012, 34.6705775, 31.4533468]",אשבול,133.1376380799647
אשבל,village,"[""אשבל""]","[35.3024752, 32.8748517, 35.306783, 32.8778531]",אשבל,12.929430920008002
אשדוד,city,"[""אשדוד""]","[34.6088045, 31.7531554, 34.7102646, 31.8728243]",אשדוד,121416.18560890562
אשדות_יעקב_איחוד,village,"[""אשדות יעקב איחוד""]","[35.5744008, 32.6535997, 35.583934, 32.6613489]",אשדות יעקב איחוד,73.874673439992
